starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	4	5	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:42 2011	1318141122	0	6	6	4
Sun Oct 09 07:18:42 2011	1318141122	0	6	6	4
Sun Oct 09 07:18:42 2011	1318141122	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:46 2011	1318141126	0	6	6	5
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	6	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:42 2011	1318141122	0	6	7	4
Sun Oct 09 07:18:42 2011	1318141122	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
Sun Oct 09 07:18:43 2011	1318141123	0	6	7	4
