starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 09 07:17:11 2011	1318141031	0	7	7	7
Sun Oct 09 07:16:57 2011	1318141017	0	9	9	9
Sun Oct 09 07:17:03 2011	1318141023	0	10	10	8
Sun Oct 09 07:17:28 2011	1318141048	0	10	10	10
Sun Oct 09 07:16:57 2011	1318141017	0	10	11	10
Sun Oct 09 07:17:25 2011	1318141045	0	12	12	12
Sun Oct 09 07:16:55 2011	1318141015	0	12	13	12
Sun Oct 09 07:16:55 2011	1318141015	0	13	13	13
Sun Oct 09 07:16:57 2011	1318141017	0	14	14	12
Sun Oct 09 07:16:55 2011	1318141015	0	15	15	15
Sun Oct 09 07:16:55 2011	1318141015	0	15	15	15
Sun Oct 09 07:16:56 2011	1318141016	0	17	17	17
Sun Oct 09 07:16:55 2011	1318141015	0	17	17	17
Sun Oct 09 07:17:06 2011	1318141026	0	17	17	17
Sun Oct 09 07:16:55 2011	1318141015	0	18	18	17
Sun Oct 09 07:17:16 2011	1318141036	0	19	19	18
Sun Oct 09 07:16:57 2011	1318141017	0	19	19	19
Sun Oct 09 07:16:56 2011	1318141016	0	20	20	19
Sun Oct 09 07:16:57 2011	1318141017	0	21	21	20
Sun Oct 09 07:17:27 2011	1318141047	0	21	21	21
Sun Oct 09 07:16:55 2011	1318141015	0	21	21	21
Sun Oct 09 07:16:55 2011	1318141015	0	22	22	22
Sun Oct 09 07:16:55 2011	1318141015	0	22	22	20
Sun Oct 09 07:17:26 2011	1318141046	0	22	22	22
Sun Oct 09 07:17:25 2011	1318141045	0	23	23	22
Sun Oct 09 07:16:55 2011	1318141015	0	23	23	23
Sun Oct 09 07:17:33 2011	1318141053	0	24	24	23
Sun Oct 09 07:16:55 2011	1318141015	0	24	24	24
Sun Oct 09 07:16:55 2011	1318141015	0	24	24	23
Sun Oct 09 07:16:55 2011	1318141015	0	25	25	25
Sun Oct 09 07:17:34 2011	1318141054	0	25	25	23
Sun Oct 09 07:17:19 2011	1318141039	0	25	25	21
Sun Oct 09 07:17:02 2011	1318141022	0	25	25	22
Sun Oct 09 07:16:57 2011	1318141017	0	26	26	23
Sun Oct 09 07:16:55 2011	1318141015	2	24	26	24
Sun Oct 09 07:17:44 2011	1318141064	0	26	26	26
Sun Oct 09 07:17:23 2011	1318141043	0	26	26	26
Sun Oct 09 07:16:57 2011	1318141017	0	26	26	26
Sun Oct 09 07:17:15 2011	1318141035	0	26	26	26
Sun Oct 09 07:16:55 2011	1318141015	0	27	27	26
Sun Oct 09 07:17:31 2011	1318141051	0	27	27	26
Sun Oct 09 07:17:43 2011	1318141063	0	27	27	27
Sun Oct 09 07:16:59 2011	1318141019	0	27	27	27
Sun Oct 09 07:16:55 2011	1318141015	0	27	28	26
Sun Oct 09 07:17:26 2011	1318141046	0	28	28	27
Sun Oct 09 07:16:55 2011	1318141015	2	26	28	25
Sun Oct 09 07:16:55 2011	1318141015	2	26	28	24
